"1", "Update on ConfirmLogic", "I will meet with Kim  this afternoon on her comments on ConfirmLogic.  Bottom line, no sign off from Kim at this point.  Thought you might want to know."
"1", "Forecast", "Here is our forecast"
"1", "Travelling Thoughts", "Traveling to have a business meeting takes the fun out of the trip.  Especially if you have to prepare a presentation.  I would suggest holding the business plan meetings here then take a trip without any formal business meetings.  I would even try and get some honest opinions on whether a trip is even desired or necessary. As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  Too often the presenter speaks and the others are quiet just waiting for their turn.   The meetings might be better if held in a round table discussion format. My suggestion for where to go is Austin.  Play golf and rent a ski boat and jet ski's.  Flying somewhere takes too much time."
"1", "Idk??", "Randy, Can you send me a schedule of the salary and level of everyone in the scheduling group. Plus your thoughts on any changes that need to be made. (Patti S for example)"
"1", "Western Gas Resources", "The shippers behind Gomez have been going to WGR since Jan. 1, 2001 and the shippers at Mitchell CO2 have been aware of the pending sell of NNG assets to WGR since at least Jan. 1, 2001.  All of this gas is going to WGR and none of it returns to NNG.  So this was communicated last year when all this was being planned. The OBA was not affected with this sell.  The OBA with WGR is one OBA that totalled all points.  They owe us 107,000 dth at the end of last month and we owe them 36,000 dth for fuel usage on the #5 unit at Gomez for the first five months of the year.  All that will be left on WGR's OBA will be Benedum and Midkiff.  Dan Ball and I are working together and hope to have the OBA near zero by the end of July. I hope this answers your questions, if not let me know."
"1", "Compressor Fuel Consumed in Colorado", "Attached are the volumes and related values(San Juan index) for the La Plata "A" Fuel from September 1996 through April 2001.   We need to meet to discuss the issues related to this potential liability of $367k(total volume * SJ index * .05) and subsequent liability."
"1", "Modification to the new daily SCADA Report", "Here are the stored procedures with their parameters in parenthesis.  Most of them are single selects and could be incorporated into SQL in the Excel add-in if desired.  I thought stored procedures would make it easier to separate support for the add-in from support for the code. "
"1", "Concerns", "I agree with Larry. I'm not sure if we can do anything about it, but I agree with him."
"1", "meister!!! the charging rhino!!! i miss you guys!!!", "rhino here, sorry you lost your voice!  Just goes to show that sometimes prayers are answered.  Just kidding!  We missed you at gas fair."
"1", "Derivatives course", "Bill, I would really like to sign up for the derivatives course being offered on June 4th and 5th.  I had already requested the 1st thru the 5th off in order to attend a wedding in LA however, I would like to attend the course and if selected would cut my trip short. "
"1", "directions", "do you need me to bring anything?"
"1", "Training Course-Electric System Operation for the Non-engineer", "Bill, if you have not filled the slots for this course I would really love to attend it.  Let me know"
"1", "ncaa picks", "I never got the second set could you send it again."
"1", "Drinking Green Beer", "Rick, what are you doing for tommorow.  I would love to go out early before it gets to crowded and then maybe go somewhere a little more mellow later in the afternoon/evening.  Also, are you guys doing anything this evening? Let me know."
"1", "itinerary for mark guzman 25mar travel", "Bill, FYI.  You have both David Porter and me working on that day shift.  Either we need to let the night shift know that they need to come in an hour and a half early, put someone else on that day shift, or change the itenerary."
"1", "ortland St. Patty's Day", "Portland actually becomes a happening town for one day a year and that day is St Patricks Day.  There are several pretty cool places that we can go downtown that will be having pretty decent sized parties.   What is your schedule for the weekend? "
"1", "El Paso Problem", "Bill, over the past few weeks we have had quite a few occasions that El Paso has had problems checking out with other control areas due to them providing transmission for other counter parties.  Last night and on several other nights the generation guys at El Paso have been netting out generation schedules with transmission schedules.  "
"1", "schedule", "Attatched is this months pre-schedules.  Please distribute to all the guys."
"1", "Athens Plant", "Attached is the interconnect data sheet for Athens.  You and Raimund may want to update it for site specific criteria that has been identified since they changed the power plant site point."
"1", "MarketLink", "I met with Con-Ed last week.  They asked if Market Link @ Leidy was going to be good liquid point to buy long term supply.  I told them that I didn't think so but would do a little research for them.  I know you worked pretty hard on this one.  Do you have an overview/summary that  I could look at including some rough economics."
"1", "Organization Announcement", "Given the growth in EES it has become apparent that it is time to consolidate the risk functions between EES and EWS.  This will provide EES with the systems, resources and risk expertise of the wholesale energy groups necessary for it to continue to grow and take advantage of current market opportunities. With this in mind and in agreement with the management of EES, two new risk groups inside Enron Americas will be formed to provide EES with pricing, structuring, retail and wholesale commodity risk management, logistics and back-office services.  These groups main function is to provide these services to EES.  We have asked Rogers Herndon, currently Vice President-Trading in the Eastern Power Group to manage this function in the Eastern Interconnect (this includes both gas and power).  Rogers will continue to report to Kevin Presto.  We have asked Don Black, formerly Vice President-EES Risk Management and Sourcing, to manage this function in the Western U.S.  Don will manage this group from Houston and will report to Tim Belden."
"1", "FGT Letter re: Florida", "Thank you for the letter.  I have added some detail regarding Phase VI and the fact that capacity shortages for SE Florida begin around Station 20.  In addition I would like to delete the last sentence of the last paragraph."
"1", "Xmas Party", "I want to play on the motley side.  I am off work the next day, so I will try and make it."
"1", "Wed Game at 9:00", "I will be there."
"1", "xmas lists", "Hey man, our new address is: 4435 Sterling Wood Way Houston, TX  77059 "
"1", "brandi", "Sorry it has taken so long to get back with you.  Work has been real hectic.  Trust me, I feel old as well.  The old body doesn't cooperate like it use to.  Jackson and Ashley are doing great.  We got our tree up and he just rounds around pointing at the glass balls on the tree and yelling balls!!!!"
"1", "Your Basketball League is Back!", "I guess I would be in, what is the fee going to be.  It is a crap load of work."
"1", "Pick ups", "How does Fear have any money left...he has been bidding the house...I think we need some bid accounting here."
"1", "GD CEntral Fin Liq 0800", "I have put all of the liquidations for GD Central in the Fred Liquidations file.  There is a variance of ($13,950) on the gas daily between what we flashed and what detail we now have.  We will have to take this adjustment to the P&L(wil be expense). "
"1", "We're in first place!", "I agree with Bryan.  Judging by the number of email's he is sending, it looks like he doesn't have enough work over there.  I am sure the Texas boys could use his help on calcing the books. "
"1", "Chicago Summer Intern Interviews", "Please take me off your email list for University of Chicago candidates.  I have not been involved in any recruiting efforts."
"1", "Private lesson on Sunday, Jan. 14", "Is a stand-by time available for Sunday afternoon around 2 pm?  The lesson would be for my daughter Kali."
"1", "Prices and volumes", "We were allocated a total of 7591 mmbtu at the receipt point for November.  I think our contract for November is at the average of the Inside FERC  postings for the three pipes plus a penny."
"1", "Riding lessons", "I have Kali on our list for Sat the 25th. If you can, send a check for $27 and that will move you to the head of the list. Prepaid riders go to an instructor ahead of "stand-by" riders. "
"1", "Term of Bazor Contract", "The IF term should be Nov.1, 2000 - Feb. 28, 2001.  Sorry if I messed up on the phone."
"1", "contract", "Just checking to make sure Molly got the contract yesterday via email.  Let me know if she didn't."
"1", "Geek!", "Yeah right!  Nice try - Geek!"
"1", "Press release", "Press release looked good.  You probably haven't had a chance to talk to Dave.  Yesterday he was in the PRC meetings all day and today is the Enron board meeting, where he is giving a presentation.  I did talk to Kay, his assistant, and he was planning on returning your call today.  Again, congrats on the release."
"1", "Question 2", "Here are some more questions regarding the Caledonia and Brownsville plants.  Your assistance with these questions would be greatly appreciated.  Please send your answers back to me when completed.  Again, thank you for your help."
"1", "site confirms for next week", "Here are the site confirms for next week.  Also attached are directions to the sites.  If you have any questions please give myself, Don Miller or Ross Newlin a call.  Again, thanks for your interest with these assets."
"1", "warning", "John wanted me to send it to you.  We are going to ask Jinsung what the differences are once he gets out of this meeting."
"1", "Tennis", "This weekend is out of the question - the BIG race is on Sunday up in the Big Apple.  Megan and I leave for NYC on Friday afternoon.  We will be getting back on Monday.  Watch ABC between 10:00am and 3:00pm, they play it down here.  Good deal with KMI.  I sent Susan a congratulations email this morning.  I'll talk to you soon."
"1", "Aquila questions", "Please disregard the e-mail asking you to help answer the latest Aquila questions.  We got em!"
"1", "More Lincoln Questions", "Here are the answers to your questions.  Please give us a call if you have any more questions.  Thanks!"
